year,month,decimal,average,average_unc,trend,trend_unc
2021,4,2021.292,1890.77,0.61,1891.32,0.48
2021,5,2021.375,1891.25,0.72,1892.82,0.47
2021,6,2021.458,1888.14,0.72,1894.33,0.46
2021,7,2021.542,1886.01,0.73,1895.85,0.47
2021,8,2021.625,1892.26,1.22,1897.39,0.47
2021,9,2021.708,1902.37,1.31,1898.90,0.49
2021,10,2021.792,1907.73,0.88,1900.39,0.51
2021,11,2021.875,1908.98,1.23,1901.86,0.54
2021,12,2021.958,1907.89,0.84,1903.30,0.58
2022,1,2022.042,1906.34,0.90,1904.72,0.62
2022,2,2022.125,1906.49,1.14,1906.03,0.66
2022,3,2022.208,1907.96,1.26,1907.29,0.70
2022,4,2022.292,1908.90,0.89,1908.54,0.73
2022,5,2022.375,1907.39,1.02,1909.74,0.75
2022,6,2022.458,1904.81,1.29,1910.89,0.77
2022,7,2022.542,1903.98,1.58,1911.97,0.77
2022,8,2022.625,1908.27,1.70,1913.03,0.76
2022,9,2022.708,1915.01,1.40,1914.01,0.74
2022,10,2022.792,1919.25,1.34,1914.95,0.71
2022,11,2022.875,1921.99,1.01,1915.85,0.66
2022,12,2022.958,1922.09,1.24,1916.70,0.61
2023,1,2023.042,1920.01,1.37,1917.54,0.55
2023,2,2023.125,1918.92,1.01,1918.31,0.50
2023,3,2023.208,1918.79,0.78,1919.05,0.47
2023,4,2023.292,1919.99,0.86,1919.79,0.44
2023,5,2023.375,1919.48,0.53,1920.51,0.43
2023,6,2023.458,1915.30,1.05,1921.22,0.44
2023,7,2023.542,1913.17,1.04,1921.92,0.46
2023,8,2023.625,1916.99,1.16,1922.61,0.49
2023,9,2023.708,1924.75,1.08,1923.30,0.53
2023,10,2023.792,1930.42,1.17,1923.98,0.56
2023,11,2023.875,1931.59,0.83,1924.66,0.59
2023,12,2023.958,1931.10,0.91,1925.36,0.62
2024,1,2024.042,1928.35,0.81,1926.07,0.63
2024,2,2024.125,1925.98,-9.99,1926.76,-9.99
2024,3,2024.208,1927.67,-9.99,1927.47,-9.99
2024,4,2024.292,1929.27,-9.99,1928.20,-9.99
2024,5,2024.375,1925.96,-9.99,1928.95,-9.99
2024,6,2024.458,1921.35,-9.99,1929.70,-9.99
2024,7,2024.542,1920.58,-9.99,1930.46,-9.99
2024,8,2024.625,1925.91,-9.99,1931.23,-9.99
